	W	Reject null hypothesis
95f1122eba4f89f7a077f04e3462c840	0	False
127a8fece8bff934ec8e40452bf1d3e8	0	False
0c7ca4ae15bcfb16e5a7111a9618225f	0	False
b6cb34b9de627f71f7aaecf649f38159	0	False
324f855ce56bd5eb9f6c76240b323e88	0	False
9b33ef6780b8df0034d9de74d815cdba	0	False
c56997f9eeff1a8ebc8c9b58b29683b9	0	False
5aad6311e39c600f3d8e0aa92ae07214	0	False
136c2ef7813d8459c0f9694ce1afe804	0	False
ce0dd0161e0d0766065875c77da14f38	0	False
603a416041da5b1e514f78dbf3374668	0	False
a1ab25ec23ac74dc562a0a93edd07223	0	False
f0b4561be4255e3bef58f394bfe973a1	0	False
05ea3c58de59d0b7d58ceea010e04731	0	False
fa5dbb2daf8af7d6210ea6dfac3dc669	0	False
b72153c4c3eb7336855d500948965c0f	0	False
c89d580fa4ff7d223835edd193f23dbc	0	False
3f7703567f7b991f2b1844784c6168e8	0	False
8c208212d4baf2e7977cbfad2266b66f	0	False
80ffe806461698e1723dbe88712b1bbe	0	False
ff2f9071d076056829369347cce77be3	0	False
ee0c2b34b177e2630ac69f272087d189	0	False
8897ddcc97eab1556bac4bd131cd4a54	0	False
b116acb03388158b994ac6cc466060e1	0	False
fa955af791fc08f3cc4640d35313cf5f	0	False
d46448d58ea79452e52900b59a86850b	0	False
20d51ab08a36fb95170672d95683d6b0	0	False
89ef823f8bbeca5eca8fdf1b5bd599ac	0	False
ce6004644f68aa3cc48722153621b207	0	False
940a6285176ad6970dc43c6a4f91c476	0	False
157d615a254c3a0871ae8170ff7f0fa1	0	False
f1fe6a9fb0967c1a6cdabf9669f9d483	0	False
5376b3f21fa762442d4fad1a7e5e47a8	0	False
0261f99bdd8196abba2c952534c1a4e8	0	False
2745227fc63879f88983aebcbc41a8ff	0	False
c5f57b3e39d2cbdf5b32b3600edb9295	0	False
1f0d897c001cd50e616943a8a23a44fd	0	False
6b661c985154674a2659d2383df6f40d	0	False
e1cc3e279f8d8a696869ffe58c41771d	0	False
0946cf92d1e74cebf82f51169fb37019	0	False
