	W	Reject null hypothesis
a33b49772c09d64bb3ed8ff6cc524f38	0	False
5f83d48fa33ed63bb73226dbdfde8014	0	False
9e57e07ee5ff7e274cd37d243202db92	0	False
7f817c3675bca1a1a018450ad72ce33a	0	False
c80befef459a7f49a88d98ac1732fde3	0	False
f5c5a4f4caece0381bd6c77236d4ce59	0	False
697c11bdf9001e9bc1f56f81e7c8cd8c	0	False
07edfda5f78f3f02bff5bc5fcd10d0f7	0	False
84dac0c3bb598af90b8b1133327b01eb	0	False
0302a141472d00d6cc6565219971c8ca	0	False
beaf73d03a5dc37b4242ada40c0881ae	0	False
ce7dd1caf4448800f7c81f66f7a0122d	0	False
7309fd0ace9b68648b3afbdbce76323c	0	False
296ae4de1808f96a4b4e4eb89954485f	0	False
9f9bf8557bedfc5438b93745a17d6a8f	0	False
62a632532998e97d7a086e212318e895	0	False
ead9304ff1c26475bf7dfeb0dd371a4c	0	False
2b2118f80aee935561fed50642e84da0	0	False
10835efcfb13904d0e393d5fcecb5ff3	0	False
abe2f6eddd9d2eece9de5c435b2785c4	0	False
df4b83f6587ebd799c96119964d7b746	0	False
a2d0831c9c20d9d8e2c605c5eb22465b	0	False
686301a43e861a82f73ce203418c7b1c	0	False
13bf76ab93d09d774b36057a14c40176	0	False
390563f6766a9e999023b6222ff8b2c3	0	False
760e4e0b7ae803e56da0635c0ffa8721	0	False
c36ddb9710e01db06b0181f7f6e4d1ba	0	False
824e9ee5b49b5fab06d07f90c9e6b3e5	0	False
daaf853aa10f4f6a273236ec15c5b77f	0	False
0d8689f6c478facabd6f070318f5f079	0	False
e1d854094b260dcae9432ebdf39c4118	0	False
