sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
CG100-100	44717	22473	50.26	16492	11741	26.26
CG101-101	16417	7253	44.18	5636	4372	26.63
CG102-102	6822	2989	43.81	2365	1692	24.8
CG103-103	52244	20171	38.61	15817	10325	19.76
CG105-105	29647	11099	37.44	7537	4252	14.34
CG106-106	40756	15649	38.4	10627	6682	16.4
CG107-107	29006	15715	54.18	11080	7517	25.92
CG108-108	46377	20694	44.62	14727	9250	19.95
CG109-109	39229	17517	44.65	12161	7099	18.1
CG11-11	35290	34164	96.81	32328	24184	68.53
CG110-110	32005	12406	38.76	8437	5765	18.01
CG111-111	32139	12875	40.06	9921	6049	18.82
CG112-112	35760	26416	73.87	21334	15153	42.37
CG113-113	32768	15406	47.02	10948	8145	24.86
CG114-114	19932	10006	50.2	7004	4706	23.61
CG115-115	26167	10963	41.9	8162	6363	24.32
CG116-116	48058	34695	72.19	27337	18899	39.33
CG117-117	14022	8791	62.69	6789	4011	28.61
CG118-118	28413	12846	45.21	10349	7368	25.93
CG119-119	5219	2570	49.24	1874	1442	27.63
CG12-12	31580	30118	95.37	28894	22929	72.61
CG120-120	72374	29925	41.35	21358	14118	19.51
CG121-121	31273	26445	84.56	20245	11988	38.33
CG122-122	11683	5319	45.53	4025	3166	27.1
CG123-123	10097	4462	44.19	3435	2666	26.4
CG124-124	22065	11637	52.74	9043	6335	28.71
CG125-125	31678	21473	67.79	15939	11795	37.23
CG126-126	79251	75197	94.88	58488	32922	41.54
CG127-127	8167	7832	95.9	6797	4917	60.21
CG128-128	57672	23153	40.15	17921	11906	20.64
CG129-129	20684	8599	41.57	6259	3537	17.1
CG13-13	31553	30517	96.72	29212	24294	76.99
CG130-130	2640	1006	38.11	719	370	14.02
CG131-131	2769	1061	38.32	729	344	12.42
CG132-132	16237	1386	8.54	805	666	4.1
CG133-133	31313	12866	41.09	9095	6464	20.64
CG134-134	16001	6705	41.9	4990	2929	18.31
CG135-135	15097	6267	41.51	4793	3113	20.62
CG136-136	17228	8074	46.87	5898	3772	21.89
CG137-137	36141	21289	58.91	16927	11374	31.47
CG138-138	33285	29644	89.06	24632	16119	48.43
CG139-139	18164	10020	55.16	7316	5317	29.27
CG14-14	38407	37079	96.54	35488	29330	76.37
CG140-140	12464	5573	44.71	4431	2853	22.89
CG141-141	7448	3324	44.63	2623	1912	25.67
CG142-142	12345	6155	49.86	4716	2618	21.21
CG143-143	12775	5386	42.16	3996	1791	14.02
CG144-144	56515	17148	30.34	12370	8014	14.18
CG145-145	5380	3092	57.47	2247	1712	31.82
CG146-146	22927	11736	51.19	8544	4882	21.29
CG147-147	83198	60296	72.47	45693	25347	30.47
CG148-148	33205	16633	50.09	12008	6676	20.11
CG149-149	36189	23844	65.89	17800	11018	30.45
CG15-15	35829	34461	96.18	32944	27277	76.13
CG150-150	79940	46540	58.22	36159	20707	25.9
CG151-151	29721	15245	51.29	11159	7665	25.79
CG152-152	16290	10971	67.35	8697	5963	36.61
CG153-153	52982	36656	69.19	28968	18273	34.49
CG154-154	75459	38770	51.38	29914	17720	23.48
CG155-155	18403	9745	52.95	7742	5159	28.03
CG156-156	38503	16854	43.77	12477	7203	18.71
CG157-157	66498	36309	54.6	24961	14674	22.07
CG158-158	59371	27275	45.94	19614	12984	21.87
CG159-159	118170	60871	51.51	47563	28741	24.32
CG16-16	42734	40906	95.72	39059	33389	78.13
CG160-160	18435	9555	51.83	6906	4122	22.36
CG161-161	40426	19652	48.61	14315	9113	22.54
CG162-162	57328	53782	93.81	42059	28233	49.25
CG163-163	8170	7829	95.83	6258	4100	50.18
CG164-164	10395	10061	96.79	8407	5113	49.19
