sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
CG01-1	37126	35045	94.39	32992	26010	70.06
CG02-2	36387	35154	96.61	33525	28881	79.37
CG03-3	41003	39750	96.94	38177	31059	75.75
CG04-4	33038	32030	96.95	30751	26344	79.74
CG05-5	28112	27316	97.17	26130	22430	79.79
CG06-6	35794	34677	96.88	33518	28925	80.81
CG07-7	33631	32127	95.53	30884	26040	77.43
CG08-8	31528	30173	95.7	28919	24734	78.45
CG09-9	33425	31908	95.46	30516	24050	71.95
CG10-10	37021	35484	95.85	33741	27489	74.25
CG100-100	44717	22473	50.26	17620	12380	27.69
CG101-101	16417	7253	44.18	5920	4241	25.83
CG102-102	6822	2989	43.81	2382	1669	24.46
CG103-103	52244	20171	38.61	16458	10571	20.23
CG105-105	29647	11099	37.44	8362	5006	16.89
CG106-106	40756	15649	38.4	11458	7069	17.34
CG107-107	29006	15715	54.18	11978	8352	28.79
CG108-108	46377	20694	44.62	15579	9434	20.34
CG109-109	39229	17517	44.65	13064	7696	19.62
CG11-11	35290	34164	96.81	32677	26306	74.54
CG110-110	32005	12406	38.76	9047	6106	19.08
CG111-111	32139	12875	40.06	10142	5280	16.43
CG112-112	35760	26416	73.87	21761	14750	41.25
CG113-113	32768	15406	47.02	11528	8314	25.37
CG114-114	19932	10006	50.2	7658	5165	25.91
CG115-115	26167	10963	41.9	9172	7483	28.6
CG116-116	48058	34695	72.19	28033	19115	39.77
CG117-117	14022	8791	62.69	7116	4365	31.13
CG118-118	28413	12846	45.21	10521	7121	25.06
CG119-119	5219	2570	49.24	1840	1499	28.72
CG12-12	31580	30118	95.37	28775	23655	74.91
CG120-120	72374	29925	41.35	22617	14937	20.64
CG121-121	31273	26445	84.56	21199	11692	37.39
CG122-122	11683	5319	45.53	3993	3054	26.14
CG123-123	10097	4462	44.19	3402	2676	26.5
CG124-124	22065	11637	52.74	9605	6547	29.67
CG125-125	31678	21473	67.79	17033	12783	40.35
CG126-126	79251	75197	94.88	59653	32994	41.63
CG127-127	8167	7832	95.9	7028	5081	62.21
CG128-128	57672	23153	40.15	18772	12584	21.82
CG129-129	20684	8599	41.57	6597	4083	19.74
CG13-13	31553	30517	96.72	29322	24404	77.34
CG130-130	2640	1006	38.11	718	369	13.98
CG131-131	2769	1061	38.32	728	343	12.39
CG132-132	16237	1386	8.54	802	24	0.15
CG133-133	31313	12866	41.09	9731	6575	21
CG134-134	16001	6705	41.9	5140	2369	14.81
CG135-135	15097	6267	41.51	4932	3346	22.16
CG136-136	17228	8074	46.87	6064	3868	22.45
CG137-137	36141	21289	58.91	17680	11560	31.99
CG138-138	33285	29644	89.06	24878	15266	45.86
CG139-139	18164	10020	55.16	7516	5420	29.84
CG14-14	38407	37079	96.54	35463	29652	77.2
CG140-140	12464	5573	44.71	4414	2821	22.63
CG141-141	7448	3324	44.63	2647	1660	22.29
CG142-142	12345	6155	49.86	4751	2274	18.42
CG143-143	12775	5386	42.16	4032	1517	11.87
CG144-144	56515	17148	30.34	13140	9337	16.52
CG145-145	5380	3092	57.47	2241	1665	30.95
CG146-146	22927	11736	51.19	9127	4523	19.73
CG147-147	83198	60296	72.47	46431	25575	30.74
CG148-148	33205	16633	50.09	12829	7148	21.53
CG149-149	36189	23844	65.89	18592	11402	31.51
CG15-15	35829	34461	96.18	33196	28226	78.78
CG150-150	79940	46540	58.22	36691	20440	25.57
CG151-151	29721	15245	51.29	11938	7770	26.14
CG152-152	16290	10971	67.35	8979	6138	37.68
CG153-153	52982	36656	69.19	29830	18468	34.86
CG154-154	75459	38770	51.38	30491	17553	23.26
CG155-155	18403	9745	52.95	7837	5195	28.23
CG156-156	38503	16854	43.77	12977	7403	19.23
CG157-157	66498	36309	54.6	25936	14881	22.38
CG158-158	59371	27275	45.94	20569	13364	22.51
CG159-159	118170	60871	51.51	48541	29594	25.04
CG16-16	42734	40906	95.72	39507	32987	77.19
CG160-160	18435	9555	51.83	7209	4150	22.51
CG161-161	40426	19652	48.61	15605	9888	24.46
CG162-162	57328	53782	93.81	42887	27112	47.29
CG163-163	8170	7829	95.83	6545	4176	51.11
CG164-164	10395	10061	96.79	8905	5234	50.35
CG166-166	8490	8196	96.54	6827	4606	54.25
CG167-167	53169	49758	93.58	41816	22582	42.47
CG168-168	59038	57215	96.91	44994	23786	40.29
CG169-169	62481	59404	95.08	49239	23457	37.54
CG17-17	44886	43323	96.52	41356	31543	70.27
CG170-170	4381	3987	91.01	3739	2723	62.15
CG171-171	1031	801	77.69	639	639	61.98
CG172-172	20040	16609	82.88	13672	7793	38.89
CG175-1-Bact-Wt	424464	369593	87.07	330856	192312	45.31
CG176-2-Bact-Wt	601542	527529	87.7	492349	285869	47.52
CG177-4-Bact-Wt	591191	505948	85.58	464432	251804	42.59
CG178-5-Bact-Wt	659523	567081	85.98	519911	296077	44.89
CG179-6-Bact-Wt	531973	454397	85.42	420374	256315	48.18
CG18-18	39878	38568	96.71	36918	27857	69.86
CG180-7-Bact-Wt	488668	424000	86.77	353869	177893	36.4
CG181-8-Bact-Wt	441225	382805	86.76	351026	214298	48.57
CG182-9-Bact-Wt	553951	473153	85.41	436352	252342	45.55
CG183-10-Bact-Wt	497505	429891	86.41	381116	236109	47.46
CG184-11-Bact-IgAKO	418158	364920	87.27	322629	173173	41.41
CG185-12-Bact-IgAKO	473534	406976	85.94	312364	145355	30.7
CG186-14-Bact-IgAKO	328163	283337	86.34	267621	177806	54.18
CG187-15-Bact-IgAKO	423014	365100	86.31	337055	202482	47.87
CG188-17-Bact-IgAKO	657021	574374	87.42	524446	285024	43.38
CG189-18-Bact-IgAKO	568897	497860	87.51	444862	246240	43.28
CG19-19	43084	41273	95.8	39394	30573	70.96
CG190-19-Bact-IgAKO	707538	618116	87.36	545927	279622	39.52
CG191-20-Bact-IgAKO	510716	446414	87.41	390956	202834	39.72
CG20-20	41310	39568	95.78	37909	30460	73.74
CG21-21	32831	31212	95.07	29643	24945	75.98
CG22-22	37374	36147	96.72	32578	24498	65.55
CG23-23	41513	39451	95.03	37564	29515	71.1
CG24-24	36978	35900	97.08	34673	25074	67.81
CG25-25	30347	29403	96.89	28052	21389	70.48
CG26-26	32667	31465	96.32	30146	25989	79.56
CG27-27	32974	31635	95.94	30281	24801	75.21
CG28-28	32856	31177	94.89	30007	25122	76.46
CG29-29	31271	29847	95.45	28623	24470	78.25
CG30-30	38975	37800	96.99	35998	30290	77.72
CG31-31	44812	43311	96.65	41373	30273	67.56
CG32-32	36584	35239	96.32	33708	26684	72.94
CG33-33	36598	33851	92.49	32480	24266	66.3
CG34-34	59739	55731	93.29	48225	36094	60.42
CG35-35	72344	67189	92.87	64219	48327	66.8
CG36-36	44402	42080	94.77	38498	26128	58.84
CG37-37	21019	19290	91.77	18473	13496	64.21
CG38-38	76895	72662	94.5	67333	48753	63.4
CG39-39	54524	52436	96.17	48372	35995	66.02
CG40-40	45309	41199	90.93	36541	28067	61.95
CG41-41	72144	68880	95.48	52970	41479	57.49
CG42-42	33505	31800	94.91	30322	22332	66.65
CG43-43	44794	42681	95.28	40847	29871	66.69
CG44-44	44966	43146	95.95	37796	29539	65.69
CG45-45	40177	38221	95.13	36311	28091	69.92
CG46-46	61157	59370	97.08	45827	28322	46.31
CG47-47	45367	42726	94.18	41265	33283	73.36
CG48-48	46826	44968	96.03	38367	28792	61.49
CG49-49	58558	55044	94	52592	37986	64.87
CG50-50	31585	30179	95.55	28772	20367	64.48
CG51-51	34975	33600	96.07	31964	20386	58.29
CG52-52	33965	31286	92.11	29978	20418	60.11
CG53-53	31731	29492	92.94	28339	22894	72.15
CG54-54	38038	34115	89.69	32864	25082	65.94
CG55-55	35785	34304	95.86	30738	22165	61.94
CG56-56	32020	29679	92.69	28807	21563	67.34
CG57-57	41883	40621	96.99	35436	26100	62.32
CG58-58	8061	7742	96.04	7002	5358	66.47
CG60-60	37681	35364	93.85	34066	26780	71.07
CG61-61	34605	32579	94.15	31477	26770	77.36
CG62-62	37838	35664	94.25	34309	26557	70.19
CG63-63	34544	33291	96.37	28436	23445	67.87
CG64-64	25882	24485	94.6	22935	18090	69.89
CG65-65	26879	25477	94.78	22853	18388	68.41
CG66-66	59229	54125	91.38	49827	33934	57.29
CG67-67	40115	38905	96.98	35596	28720	71.59
CG68-68	32469	31160	95.97	29886	26223	80.76
CG69-69	31435	30558	97.21	29219	25074	79.76
CG70-70	36263	35208	97.09	33955	28254	77.91
CG71-71	29981	29031	96.83	28039	24697	82.38
CG72-72	29144	28254	96.95	27285	24085	82.64
CG73-73	46892	45260	96.52	43012	35022	74.69
CG74-74	40408	39072	96.69	37678	33668	83.32
CG75-75	44381	42507	95.78	40846	32839	73.99
CG76-76	41498	40305	97.13	38775	33678	81.16
CG77-77	39925	38819	97.23	36980	29477	73.83
CG78-78	43870	42238	96.28	40653	32970	75.15
CG79-79	39956	38673	96.79	37161	32227	80.66
CG80-80	30873	29855	96.7	28540	24518	79.42
CG81-81	33793	32650	96.62	31435	27870	82.47
CG82-82	31594	30339	96.03	29153	24343	77.05
CG83-83	36193	34988	96.67	33678	26749	73.91
CG84-84	33175	32083	96.71	30579	23643	71.27
CG85-85	28526	27383	95.99	26202	22463	78.75
CG86-86	33917	32776	96.64	31353	25900	76.36
CG87-87	30762	29578	96.15	28447	24059	78.21
CG88-88	28159	27264	96.82	26176	19768	70.2
CG89-89	33582	32414	96.52	30819	24394	72.64
