Sample	CG01-1	CG06-6	CG05-5	CG04-4	CG03-3	CG02-2	CG13-13	CG12-12	CG11-11	CG10-10	CG08-8	CG07-7	CG09-9
Strain	Igha+/+	Igha+/+	Igha+/+	Igha+/+	Igha+/+	Igha+/+	Igha-/-	Igha-/-	Igha-/-	Igha-/-	Igha-/-	Igha-/-	Igha-/-
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	6.29054688	-0.179619772	-0.182822526	3.168892052	5.927388768	5.76513213
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	-0.197064813	-0.22641513	6.877406428	-0.210916043	-0.241983812	-0.211036169	6.459857127	-0.173091842	7.101298387	-0.182822526	-0.185359484	6.561874449	-0.201369571
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	6.547163541	-0.179619772	-0.182822526	3.526763471	6.39328184	-0.201369571
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	4.520249003	-0.179619772	-0.182822526	-0.185359484	-0.185987051	-0.201369571
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	3.308410063	-0.179619772	-0.182822526	0.635259973	3.61988444	3.311746319
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	-0.173091842	6.252446474	-0.182822526	-0.185359484	5.39297943	5.467643092
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	6.75509863	-0.179619772	-0.182822526	-0.185359484	-0.185987051	-0.201369571
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	-0.197064813	-0.22641513	-0.181824181	-0.210916043	1.403319363	-0.211036169	-0.193203059	-0.173091842	-0.179619772	-0.182822526	-0.185359484	-0.185987051	-0.201369571
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	-0.173091842	-0.179619772	7.17271165	-0.185359484	-0.185987051	-0.201369571
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	-0.197064813	-0.22641513	-0.181824181	-0.210916043	-0.241983812	-0.211036169	-0.193203059	-0.173091842	6.838317067	-0.182822526	-0.185359484	6.828065079	-0.201369571
